epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.412,1.9638,3.31375,1.68215,0.343,0.20437,0.1297,0.04343,2.02147,3.64197,1.92601,0.000551834,0.000551834,0.000551834
2,604.502,1.94036,2.78456,1.77085,0.4099,0.33565,0.32145,0.11336,2.1183,3.03162,1.96104,0.00107095,0.00107095,0.00107095
3,915.947,1.93267,2.40308,1.73058,0.44299,0.37864,0.33868,0.14335,2.11897,3.0839,1.89707,0.0015534,0.0015534,0.0015534
4,1224.42,1.88438,2.16396,1.69387,0.66038,0.36655,0.45928,0.17176,2.08195,2.49828,1.89716,0.00150197,0.00150197,0.00150197
5,1531.24,1.81378,1.97381,1.67046,0.42581,0.45736,0.35535,0.12742,2.03774,2.47404,1.82573,0.00144696,0.00144696,0.00144696
6,1830.75,1.78832,1.86324,1.6651,0.58374,0.45337,0.4953,0.183,2.08571,2.18132,1.89807,0.00139195,0.00139195,0.00139195
7,2123.98,1.74078,1.68509,1.61467,0.62357,0.48847,0.53848,0.19757,1.95867,2.29089,1.71906,0.00133693,0.00133693,0.00133693
8,2417.19,1.73281,1.63948,1.59992,0.5836,0.53968,0.50329,0.21958,1.94009,1.8143,1.74985,0.00128192,0.00128192,0.00128192
9,2709.67,1.66907,1.57437,1.5627,0.6886,0.43037,0.52511,0.19468,2.04726,1.83584,1.80596,0.00122691,0.00122691,0.00122691
10,3001.42,1.64301,1.48353,1.5406,0.72124,0.53968,0.59851,0.2452,1.9767,1.63134,1.76847,0.0011719,0.0011719,0.0011719
11,3294.99,1.61183,1.44216,1.50173,0.62048,0.61078,0.59693,0.26059,1.87845,1.67442,1.70696,0.00111689,0.00111689,0.00111689
12,3588.54,1.58987,1.3841,1.47174,0.64413,0.63225,0.62658,0.26374,1.83671,1.5953,1.65308,0.00106188,0.00106188,0.00106188
13,3884.77,1.57786,1.30656,1.49653,0.66112,0.65407,0.66637,0.2899,1.94254,1.50774,1.72922,0.00100687,0.00100687,0.00100687
14,4180.2,1.54879,1.30388,1.47374,0.61619,0.68353,0.63185,0.27126,1.90462,1.55592,1.72441,0.000951857,0.000951857,0.000951857
15,4481.29,1.503,1.23352,1.42857,0.69737,0.66325,0.66854,0.30496,1.80464,1.43518,1.6004,0.000896846,0.000896846,0.000896846
16,4785.5,1.50313,1.16863,1.43235,0.57676,0.6369,0.53603,0.23213,1.91614,1.57679,1.71497,0.000841835,0.000841835,0.000841835
17,5090.11,1.47901,1.14099,1.40516,0.77981,0.624,0.73901,0.32425,1.83119,1.35545,1.59822,0.000786824,0.000786824,0.000786824
18,5394.83,1.46493,1.11371,1.39948,0.81466,0.66901,0.75539,0.3431,1.83991,1.47234,1.58826,0.000731813,0.000731813,0.000731813
19,5693.92,1.44157,1.10443,1.38214,0.76654,0.68154,0.68973,0.31621,1.78543,1.42952,1.58559,0.000676802,0.000676802,0.000676802
20,5992.7,1.42672,1.06079,1.37481,0.7904,0.72246,0.75744,0.33142,1.75852,1.38058,1.56987,0.000621791,0.000621791,0.000621791
21,6287.44,1.34539,0.89104,1.32625,0.82246,0.67163,0.70876,0.30868,1.83182,1.28854,1.6138,0.00056678,0.00056678,0.00056678
22,6586.7,1.30894,0.84389,1.31683,0.75971,0.71893,0.72078,0.32394,1.85935,1.25865,1.64246,0.000511769,0.000511769,0.000511769
23,6889.66,1.26961,0.81715,1.28429,0.79037,0.74438,0.76084,0.35881,1.80729,1.24571,1.60811,0.000456758,0.000456758,0.000456758
24,7189.13,1.25641,0.79001,1.2688,0.79262,0.74074,0.76871,0.36446,1.7481,1.17426,1.58436,0.000401747,0.000401747,0.000401747
25,7491.62,1.24122,0.73912,1.27436,0.8128,0.71676,0.75233,0.35164,1.7523,1.26062,1.58443,0.000346736,0.000346736,0.000346736
26,7795.27,1.214,0.72781,1.25172,0.86445,0.72748,0.74752,0.35851,1.78134,1.20207,1.57484,0.000291725,0.000291725,0.000291725
27,8100.3,1.1835,0.69448,1.22331,0.88225,0.68286,0.766,0.36433,1.71539,1.24118,1.55955,0.000236714,0.000236714,0.000236714
28,8405.39,1.13573,0.66124,1.20353,0.86533,0.72715,0.77098,0.37704,1.75094,1.12592,1.58375,0.000181703,0.000181703,0.000181703
29,8708.39,1.12708,0.65662,1.19293,0.76346,0.71949,0.75811,0.36313,1.67354,1.18517,1.54123,0.000126692,0.000126692,0.000126692
30,9080.57,1.0998,0.63127,1.18922,0.88318,0.7414,0.79675,0.37853,1.69573,1.15153,1.56366,7.1681e-05,7.1681e-05,7.1681e-05
